don_200
------

X_func_train:  (1500, 200) 
X_loc_train:  (400, 1) 
y_train:  (1500, 400)
X_func_test:  (50, 200) 
X_loc_test:  (400, 1) 
y_test:  (50, 400)
DeepONet Training Begins
epoch:71000, Train Loss:9.461e-04, Val Loss:1.897e-03, elapsed time: 1443s
epoch:72000, Train Loss:1.168e-03, Val Loss:2.324e-03, elapsed time: 1462s
epoch:73000, Train Loss:9.907e-04, Val Loss:1.742e-03, elapsed time: 1483s
epoch:74000, Train Loss:8.430e-04, Val Loss:1.929e-03, elapsed time: 1502s
epoch:75000, Train Loss:9.654e-03, Val Loss:1.054e-02, elapsed time: 1521s
epoch:76000, Train Loss:7.989e-04, Val Loss:1.748e-03, elapsed time: 1543s
epoch:77000, Train Loss:1.346e-03, Val Loss:2.188e-03, elapsed time: 1562s
epoch:78000, Train Loss:5.849e-03, Val Loss:6.752e-03, elapsed time: 1581s
epoch:79000, Train Loss:1.204e-03, Val Loss:2.144e-03, elapsed time: 1601s
epoch:80000, Train Loss:1.882e-03, Val Loss:3.740e-03, elapsed time: 1620s
epoch:81000, Train Loss:8.001e-04, Val Loss:1.723e-03, elapsed time: 1640s
epoch:82000, Train Loss:8.536e-04, Val Loss:1.799e-03, elapsed time: 1661s
epoch:83000, Train Loss:7.947e-04, Val Loss:1.716e-03, elapsed time: 1681s
epoch:84000, Train Loss:1.100e-03, Val Loss:1.754e-03, elapsed time: 1700s
epoch:85000, Train Loss:1.234e-03, Val Loss:2.052e-03, elapsed time: 1722s
epoch:86000, Train Loss:7.804e-04, Val Loss:1.656e-03, elapsed time: 1743s
epoch:87000, Train Loss:7.700e-04, Val Loss:1.641e-03, elapsed time: 1763s
epoch:88000, Train Loss:8.436e-04, Val Loss:1.703e-03, elapsed time: 1785s
epoch:89000, Train Loss:7.493e-04, Val Loss:1.617e-03, elapsed time: 1804s
epoch:90000, Train Loss:7.328e-04, Val Loss:1.593e-03, elapsed time: 1823s
epoch:91000, Train Loss:7.642e-04, Val Loss:1.617e-03, elapsed time: 1844s
epoch:92000, Train Loss:2.270e-03, Val Loss:3.278e-03, elapsed time: 1864s
epoch:93000, Train Loss:1.238e-02, Val Loss:1.424e-02, elapsed time: 1884s
epoch:94000, Train Loss:8.892e-04, Val Loss:1.833e-03, elapsed time: 1907s
epoch:95000, Train Loss:8.695e-04, Val Loss:1.689e-03, elapsed time: 1926s
epoch:96000, Train Loss:1.074e-03, Val Loss:1.589e-03, elapsed time: 1945s
epoch:97000, Train Loss:7.496e-04, Val Loss:1.538e-03, elapsed time: 1965s
epoch:98000, Train Loss:7.063e-04, Val Loss:1.472e-03, elapsed time: 1984s
epoch:99000, Train Loss:7.176e-04, Val Loss:1.479e-03, elapsed time: 2004s
epoch:100000, Train Loss:7.478e-04, Val Loss:1.600e-03, elapsed time: 2024s
Complete
