Seq2Seq Training Begins
epoch:0, Train Loss:9.688e-01, Val Loss:7.966e-01, elapsed time: 5s
epoch:100, Train Loss:4.751e-03, Val Loss:1.080e-02, elapsed time: 10s
epoch:200, Train Loss:2.108e-03, Val Loss:4.967e-03, elapsed time: 16s
epoch:300, Train Loss:9.997e-04, Val Loss:2.890e-03, elapsed time: 22s
epoch:400, Train Loss:4.441e-04, Val Loss:1.887e-03, elapsed time: 28s
epoch:500, Train Loss:2.361e-04, Val Loss:1.334e-03, elapsed time: 34s
epoch:600, Train Loss:1.379e-04, Val Loss:9.926e-04, elapsed time: 39s
epoch:700, Train Loss:8.727e-05, Val Loss:7.676e-04, elapsed time: 45s
epoch:800, Train Loss:5.865e-05, Val Loss:5.992e-04, elapsed time: 51s
epoch:900, Train Loss:4.101e-05, Val Loss:4.768e-04, elapsed time: 57s
epoch:1000, Train Loss:3.026e-05, Val Loss:3.923e-04, elapsed time: 63s
epoch:1100, Train Loss:2.377e-05, Val Loss:3.332e-04, elapsed time: 69s
epoch:1200, Train Loss:1.942e-05, Val Loss:2.884e-04, elapsed time: 75s
epoch:1300, Train Loss:1.627e-05, Val Loss:2.523e-04, elapsed time: 80s
epoch:1400, Train Loss:1.360e-05, Val Loss:2.223e-04, elapsed time: 86s
epoch:1500, Train Loss:1.170e-05, Val Loss:2.000e-04, elapsed time: 92s
epoch:1600, Train Loss:1.007e-05, Val Loss:1.817e-04, elapsed time: 98s
epoch:1700, Train Loss:8.673e-06, Val Loss:1.655e-04, elapsed time: 104s
epoch:1800, Train Loss:7.593e-06, Val Loss:1.524e-04, elapsed time: 110s
epoch:1900, Train Loss:6.839e-06, Val Loss:1.413e-04, elapsed time: 116s
epoch:2000, Train Loss:6.098e-06, Val Loss:1.304e-04, elapsed time: 121s
epoch:2100, Train Loss:5.474e-06, Val Loss:1.219e-04, elapsed time: 127s
epoch:2200, Train Loss:5.177e-06, Val Loss:1.135e-04, elapsed time: 133s
epoch:2300, Train Loss:4.901e-06, Val Loss:1.082e-04, elapsed time: 139s
epoch:2400, Train Loss:4.355e-06, Val Loss:1.016e-04, elapsed time: 145s
epoch:2500, Train Loss:3.892e-06, Val Loss:9.589e-05, elapsed time: 151s
epoch:2600, Train Loss:3.710e-06, Val Loss:9.064e-05, elapsed time: 156s
epoch:2700, Train Loss:3.331e-06, Val Loss:8.604e-05, elapsed time: 162s
epoch:2800, Train Loss:3.221e-06, Val Loss:8.249e-05, elapsed time: 168s
epoch:2900, Train Loss:3.000e-06, Val Loss:7.860e-05, elapsed time: 174s
epoch:3000, Train Loss:2.922e-06, Val Loss:7.551e-05, elapsed time: 180s
epoch:3100, Train Loss:2.629e-06, Val Loss:7.181e-05, elapsed time: 186s
epoch:3200, Train Loss:2.572e-06, Val Loss:6.938e-05, elapsed time: 191s
epoch:3300, Train Loss:2.831e-06, Val Loss:6.678e-05, elapsed time: 197s
epoch:3400, Train Loss:2.331e-06, Val Loss:6.400e-05, elapsed time: 203s
epoch:3500, Train Loss:2.609e-06, Val Loss:6.266e-05, elapsed time: 209s
epoch:3600, Train Loss:2.031e-06, Val Loss:5.988e-05, elapsed time: 215s
epoch:3700, Train Loss:2.327e-06, Val Loss:5.827e-05, elapsed time: 221s
epoch:3800, Train Loss:1.959e-06, Val Loss:5.650e-05, elapsed time: 226s
epoch:3900, Train Loss:1.735e-06, Val Loss:5.485e-05, elapsed time: 232s
epoch:4000, Train Loss:1.826e-06, Val Loss:5.299e-05, elapsed time: 238s
epoch:4100, Train Loss:1.717e-06, Val Loss:5.166e-05, elapsed time: 244s
epoch:4200, Train Loss:2.208e-06, Val Loss:5.057e-05, elapsed time: 250s
epoch:4300, Train Loss:1.997e-06, Val Loss:4.953e-05, elapsed time: 256s
epoch:4400, Train Loss:1.917e-06, Val Loss:4.787e-05, elapsed time: 261s
epoch:4500, Train Loss:1.425e-06, Val Loss:4.691e-05, elapsed time: 267s
epoch:4600, Train Loss:1.515e-06, Val Loss:4.594e-05, elapsed time: 273s
epoch:4700, Train Loss:1.716e-06, Val Loss:4.479e-05, elapsed time: 279s
epoch:4800, Train Loss:1.660e-06, Val Loss:4.409e-05, elapsed time: 285s
epoch:4900, Train Loss:2.260e-06, Val Loss:4.499e-05, elapsed time: 291s
epoch:5000, Train Loss:1.610e-06, Val Loss:4.224e-05, elapsed time: 296s
