Seq2Seq Training Begins
epoch:7400, Train Loss:5.314e-07, Val Loss:1.728e-05, elapsed time: 612s
epoch:7500, Train Loss:6.661e-07, Val Loss:1.741e-05, elapsed time: 620s
epoch:7600, Train Loss:9.358e-07, Val Loss:1.776e-05, elapsed time: 628s
epoch:7700, Train Loss:8.876e-07, Val Loss:1.733e-05, elapsed time: 636s
epoch:7800, Train Loss:8.085e-07, Val Loss:1.666e-05, elapsed time: 645s
epoch:7900, Train Loss:2.757e-06, Val Loss:1.730e-05, elapsed time: 653s
epoch:8000, Train Loss:6.716e-07, Val Loss:1.597e-05, elapsed time: 661s
epoch:8100, Train Loss:4.811e-07, Val Loss:1.581e-05, elapsed time: 669s
epoch:8200, Train Loss:5.571e-07, Val Loss:1.583e-05, elapsed time: 677s
epoch:8300, Train Loss:6.143e-07, Val Loss:1.559e-05, elapsed time: 685s
epoch:8400, Train Loss:1.045e-06, Val Loss:1.586e-05, elapsed time: 694s
epoch:8500, Train Loss:6.320e-07, Val Loss:1.513e-05, elapsed time: 702s
epoch:8600, Train Loss:6.624e-07, Val Loss:1.501e-05, elapsed time: 710s
epoch:8700, Train Loss:7.919e-07, Val Loss:1.506e-05, elapsed time: 718s
epoch:8800, Train Loss:7.017e-07, Val Loss:1.455e-05, elapsed time: 726s
epoch:8900, Train Loss:4.806e-07, Val Loss:1.468e-05, elapsed time: 734s
epoch:9000, Train Loss:6.016e-07, Val Loss:1.434e-05, elapsed time: 743s
epoch:9100, Train Loss:6.973e-07, Val Loss:1.437e-05, elapsed time: 751s
epoch:9200, Train Loss:1.185e-06, Val Loss:1.443e-05, elapsed time: 759s
epoch:9300, Train Loss:6.358e-07, Val Loss:1.394e-05, elapsed time: 767s
epoch:9400, Train Loss:4.782e-07, Val Loss:1.391e-05, elapsed time: 775s
epoch:9500, Train Loss:5.701e-07, Val Loss:1.369e-05, elapsed time: 783s
epoch:9600, Train Loss:9.112e-07, Val Loss:1.351e-05, elapsed time: 792s
epoch:9700, Train Loss:5.993e-07, Val Loss:1.335e-05, elapsed time: 801s
epoch:9800, Train Loss:1.351e-06, Val Loss:1.320e-05, elapsed time: 809s
epoch:9900, Train Loss:5.970e-07, Val Loss:1.329e-05, elapsed time: 817s
epoch:10000, Train Loss:9.256e-07, Val Loss:1.399e-05, elapsed time: 825s
Complete
